,title,artist(s),album,added_at,album_type,release_date,total_tracks,disc_number,duration_ms,explicit,popularity,track_number,id,is_local
105,"Git Up, Git Out",OutKast,album,2019-11-10T05:29:53Z,album,1994-04-26,17,1,447026,True,53,12,6XadDzmDVhtEQ1Itt5t8h8,False
106,Funky Ride,OutKast,album,2019-11-10T05:29:52Z,album,1994-04-26,17,1,390533,False,41,10,5ryUbYQzdRRw0iJ2P5Or55,False
107,Flim Flam (Interlude),OutKast,album,2019-11-10T05:29:52Z,album,1994-04-26,17,1,74800,False,35,11,0KrJVqg1wdHZrVCuevD6yq,False
108,Claimin' True,OutKast,album,2019-11-10T05:29:51Z,album,1994-04-26,17,1,283760,False,41,8,3VKctHo2Rk1Y74KnxVFT7U,False
109,Club Donkey Ass (Interlude),OutKast,album,2019-11-10T05:29:51Z,album,1994-04-26,17,1,25440,False,1,9,0AsBszMGRZN73oPn92qRbF,False
110,Player's Ball,OutKast,album,2019-11-10T05:29:50Z,album,1994-04-26,17,1,261266,True,61,7,1RXEb6UTxJ05RffnAWfUOE,False
111,Call of da Wild,OutKast,album,2019-11-10T05:29:49Z,album,1994-04-26,17,1,366400,False,42,6,3HbreCF19wV7JsqoFRM4SH,False
112,Southernplayalisticadillacmuzik,OutKast,album,2019-11-10T05:29:48Z,album,1994-04-26,17,1,317506,False,55,5,2pMAmZdHfQHyqJCXJbfhK3,False
113,Welcome to Atlanta (Interlude),OutKast,album,2019-11-10T05:29:47Z,album,1994-04-26,17,1,57760,False,38,4,1YAEISjOBC3Lliyqdb9jwR,False
114,Ain't No Thang,OutKast,album,2019-11-10T05:29:46Z,album,1994-04-26,17,1,338933,True,50,3,5TQEggGtsutzhOsYFfCAtE,False
115,Myintrotoletuknow,OutKast,album,2019-11-10T05:29:45Z,album,1994-04-26,17,1,160173,False,44,2,6gEejYQZRMeMODb5rxwdK8,False
116,Peaches (Intro),OutKast,album,2019-11-10T05:29:44Z,album,1994-04-26,17,1,51560,False,37,1,1C4FzrUYsOPlor1ZRxy22A,False
117,B.I.B.L.E. (Basic Instructions Before Leaving Earth),GZA,album,2019-11-10T05:29:25Z,album,1995-01-01,13,1,272866,False,46,13,5mOzvm41Pdh1WOtBKlCtZd,False
118,Swordsman,GZA,album,2019-11-10T05:29:24Z,album,1995-01-01,13,1,201066,False,44,11,3zwJm9BHB4tGjxDerxTTRU,False
119,I Gotcha Back,GZA,album,2019-11-10T05:29:24Z,album,1995-01-01,13,1,301000,False,44,12,3ToCwT51GYA1HTDJxy7ZZX,False
120,Investigative Reports,GZA,album,2019-11-10T05:29:23Z,album,1995-01-01,13,1,229800,False,47,10,6NTceGKsDLTYehlyRbYp6O,False
121,Hell's Wind Staff / Killah Hills 10304,GZA,album,2019-11-10T05:29:22Z,album,1995-01-01,13,1,308626,False,45,9,4veKiWte7ppq5jEqcI1xEP,False
122,4th Chamber,GZA,album,2019-11-10T05:29:20Z,album,1995-01-01,13,1,276967,False,58,7,4qfUlchVD7WM4JhA5xio6m,False
123,Labels,GZA,album,2019-11-10T05:29:19Z,album,1995-01-01,13,1,174226,False,46,6,50yW206ahsPJsFNmKUTFIo,False
124,Cold World,GZA,album,2019-11-10T05:29:18Z,album,1995-01-01,13,1,331000,False,49,5,4kxcVF4kEZTQZDlnNfDeur,False
125,Gold,GZA,album,2019-11-10T05:29:17Z,album,1995-01-01,13,1,237200,False,47,4,1UTX5wGyy7IC6HeT5MmAJ1,False
126,Duel Of The Iron Mic,GZA,album,2019-11-10T05:29:16Z,album,1995-01-01,13,1,246226,True,54,2,1OYjATyA5kqLK3CfYfvg3y,False
127,Living In The World Today,GZA,album,2019-11-10T05:29:16Z,album,1995-01-01,13,1,263173,False,52,3,4EcwMZC5srOdOVUTIkQWkW,False
128,Liquid Swords,GZA,album,2019-11-10T05:29:15Z,album,1995-01-01,13,1,270800,True,60,1,4dmh3OPtAhbEybhGoOG9TE,False
129,Shadowboxin',GZA,album,2019-11-10T05:29:05Z,album,1995-01-01,13,1,209973,True,66,8,7bp5DfkdK1OAvNJ1U4HfDA,False
130,Dirty Dancin',Ol' Dirty Bastard,album,2019-11-10T05:27:56Z,album,1995,17,1,162706,True,37,16,5Iyf4jiGsuHJ8SdhtkHbIJ,False
131,Harlem World,Ol' Dirty Bastard,album,2019-11-10T05:27:56Z,album,1995,17,1,375693,True,36,17,4iT7Pm41gmvJ5AWqXze1xT,False
132,Cuttin' Headz,Ol' Dirty Bastard,album,2019-11-10T05:27:55Z,album,1995,17,1,148026,True,38,15,3RzkPirkWficp2bWVUNrXn,False
133,Proteck Ya Neck II the Zoo,Ol' Dirty Bastard,album,2019-11-10T05:27:54Z,album,1995,17,1,240240,True,44,14,3sWWQgNhOEDUGFMqASMcC5,False
134,Brooklyn Zoo II (Tiger Crane),Ol' Dirty Bastard,album,2019-11-10T05:27:51Z,album,1995,17,1,440560,True,36,13,3IfqlCiII5UQuicodfcol9,False
135,Drunk Game (Sweet Sugar Pie),Ol' Dirty Bastard,album,2019-11-10T05:27:50Z,album,1995,17,1,260573,True,35,11,2k1a0Z66w5GgfLtJpdXa8c,False
136,Snakes,Ol' Dirty Bastard,album,2019-11-10T05:27:50Z,album,1995,17,1,326666,True,38,12,2LgxvtHg4luNoGMEDLnQ8P,False
137,Goin' Down,Ol' Dirty Bastard,album,2019-11-10T05:27:49Z,album,1995,17,1,259866,True,38,10,2ThiGyO22LFRahjlscyQim,False
138,The Stomp,Ol' Dirty Bastard,album,2019-11-10T05:27:48Z,album,1995,17,1,142960,True,38,9,3IUzk2qTfnWqjKatiPiGaj,False
139,Damage,Ol' Dirty Bastard,album,2019-11-10T05:27:47Z,album,1995,17,1,167866,True,41,7,6cfvxVx2PZFSFeghhmciy6,False
140,Don't U Know,Ol' Dirty Bastard,album,2019-11-10T05:27:47Z,album,1995,17,1,266906,True,37,8,5mjvj7IaZHBk2IcFVmxxD1,False
141,Raw Hide,Ol' Dirty Bastard,album,2019-11-10T05:27:45Z,album,1995,17,1,242333,True,44,6,5bY54Wk5IjGwK91Hv8ukbw,False
142,Hippa to da Hoppa,Ol' Dirty Bastard,album,2019-11-10T05:27:44Z,album,1995,17,1,181626,True,52,5,3cFT8G5sU4ind7VmAPsV5d,False
143,Brooklyn Zoo,Ol' Dirty Bastard,album,2019-11-10T05:27:43Z,album,1995,17,1,217506,True,61,4,2FWmKZ3kNbVsKGhuNHsltW,False
144,Shimmy Shimmy Ya,Ol' Dirty Bastard,album,2019-11-10T05:27:42Z,album,1995,17,1,161400,True,67,2,3ABG1UQTk0eLYUAeWkmfMi,False
145,Baby C'mon,Ol' Dirty Bastard,album,2019-11-10T05:27:42Z,album,1995,17,1,206426,True,45,3,1z8yXYruBCYvudpel8ZZYe,False
